Age,Income,Spending,Category,Score
56,35903.30519613641,2863.4819256167025,Electronics,40.76113072947654
69,63051.954538008344,1800.1819071926989,Travel,51.56520812377517
46,48654.73882073545,2112.342362875943,Electronics,43.888468569383086
32,38666.19435603489,2466.295415936545,Healthcare,34.29648102080311
60,50301.4067363621,1290.8171335334841,Groceries,46.748874914597195
25,43776.779945784074,1119.5955940096121,Healthcare,39.48005657378391
38,85307.12452608848,1237.1718427149526,Electronics,52.359680069476966
56,73224.59635424176,2631.292051713591,Travel,62.12427558007027
36,59880.41038025074,1724.0709270537766,Travel,43.61345200543221
40,82199.16208335038,3279.099642834126,Healthcare,60.23243813614946
28,61160.524614714275,1717.8762006713057,Travel,42.32499021809726
28,47080.73698007604,2092.2756515985184,Electronics,35.276447126438974
41,82846.86115904486,2771.054976283938,Healthcare,58.125874675612785
53,68083.65065526988,3003.0464440795613,Travel,56.606935686940076
57,44441.30768510315,3030.751788318199,Groceries,42.34781002584461
41,57144.91982874588,2604.1831152965715,Groceries,47.581984480009616
20,46865.726199228644,2512.031262905731,Electronics,33.624536815655276
39,39258.00403553496,2296.2634746005915,Travel,33.66139028888795
19,73892.66321297461,2389.180538083319,Electronics,46.52466696666232
41,88641.24960705196,1724.4071418357332,Healthcare,62.58373752092259
61,39021.48639271288,1590.9005582888465,Groceries,39.92187413890169
47,68444.53855035856,1998.312771294524,Healthcare,53.03580205418757
55,50240.361463172594,1914.9076887375359,Travel,43.988083557630425
19,52693.11924352956,1773.3859753363624,Electronics,37.109175272284745
38,51114.09113641696,2348.193723728358,Electronics,43.0244484932456
50,47040.138454802756,2477.652604285255,Electronics,47.17259210256471
29,60727.82441917241,2044.2034431459238,Healthcare,42.80119120487962
39,47535.748253834434,2738.765040527631,Groceries,42.28271381748829
61,64056.85238669758,1429.1554429332475,Healthcare,53.382872158293175
42,59246.42835826294,1903.1702703601409,Healthcare,48.62129828357779
66,56415.77929700386,1641.5888396985974,Travel,49.853402552681665
44,46386.545069376036,1066.73169146347,Travel,40.01674654336952
59,51348.43004147501,1958.6596570786503,Travel,46.90213974266145
45,71330.86838738635,1939.1262458083581,Groceries,52.91531033109289
33,67513.75781436572,2756.7248716210656,Groceries,49.35383361932174
32,45336.67132802174,2315.4058422773887,Travel,37.403628141419006
64,61489.98458143839,1487.9065878353977,Travel,52.68834738014607
68,71270.80685057683,2927.046283167094,Groceries,62.31892235796366
61,34958.92078317942,2610.5168477626767,Electronics,44.15673020223943
69,68150.40288569902,2291.048851734308,Groceries,61.328198517548564
20,50060.643615812296,1886.7579505750841,Groceries,36.54214689405011
54,68558.9800288974,1520.2803816382602,Groceries,52.608971725677485
68,48551.11265186225,1813.8966119644735,Travel,46.524867893403425
24,32926.76849003221,2544.374309852093,Electronics,30.662733981195796
38,35586.86343175256,2942.2931529673046,Groceries,36.83011160687048
26,60721.27419992073,2771.6217641360945,Travel,46.64922197973452
56,63895.83752582223,1755.575289106863,Healthcare,51.05110808918638
35,46435.25062343387,1440.1912833554943,Healthcare,36.13891056770723
21,69578.88688166061,2070.443123455602,Groceries,41.95136136269063
42,35077.1990659656,1115.780317218574,Healthcare,31.58521795529821
31,59008.80302029025,2161.5838570923906,Electronics,45.1207102454888
67,41834.75700356315,1926.1987068506658,Healthcare,43.936785157026506
26,50222.45838296761,1766.9817490658788,Healthcare,37.72615228001722
43,60710.98006974621,1202.6484663666024,Electronics,45.27978075561069
19,47093.799520740715,2256.800053284858,Groceries,34.40861392338319
37,54231.66683655262,1733.6495801690444,Groceries,39.387749798983066
45,75094.39213821662,1415.041582144856,Electronics,54.04769813266582
64,51346.62195715277,563.8688933591754,Electronics,40.01877682349328
24,72535.38168097712,1986.242547474682,Electronics,47.06638361911395
61,43054.397180135726,2886.125798334872,Healthcare,42.33850369930733
25,67947.06266872924,2830.629607273935,Electronics,49.546779582006124
64,81623.5293098685,1771.451871706864,Travel,65.10948310387701
52,22925.332498090662,1698.8939698191098,Healthcare,31.39379615261571
31,48046.57116794285,2234.387128037512,Groceries,40.83407229436521
34,68656.0819077081,1500.8072804058543,Groceries,45.63182247301608
53,56954.31920935511,2150.895949909733,Groceries,52.17367790032814
67,65567.18810056963,2383.040139192345,Healthcare,59.514057457190276
57,50940.22219926269,2613.4666119421536,Travel,47.32393374907776
21,61298.8468120935,1949.9229617600236,Electronics,43.12050962393268
19,57664.84146911881,1898.1631249115171,Electronics,36.11615995955916
23,77516.73092489711,1561.0087066217195,Groceries,47.13135455263665
59,63816.31264951819,1586.5598229800698,Groceries,51.56409652423984
21,65064.039931128034,1886.7605540492366,Healthcare,41.547585657534455
46,53821.84550816299,2183.682753408089,Travel,42.965172975377165
35,52685.906638912595,2456.792313116625,Electronics,44.2027040798802
43,53511.627182705684,1598.4105246598276,Healthcare,42.33492583993284
61,65916.78213567445,2746.344284479761,Electronics,57.4560895735105
51,53685.232787696055,1864.4381994787157,Groceries,44.7307900599781
27,64346.62285344619,1989.316352825782,Electronics,40.61073753127763
53,91131.01197968159,1626.3941604260883,Travel,65.2584090274758
31,73066.87055147538,787.8798698635292,Travel,43.58468506462519
48,55109.647017482384,2442.022698180525,Groceries,46.70160081293131
65,78018.20883245918,2368.4219485462168,Travel,60.5093182356564
32,53878.86940467673,1859.3362214408933,Travel,44.232659143681765
25,29428.13197233219,2033.495358612436,Healthcare,28.10378214774041
31,44878.70533623894,2257.9696088520495,Electronics,36.46679946836654
40,31938.121184612166,1218.7270715567288,Groceries,32.93392809072888
57,54727.297739380374,1735.4736613268526,Groceries,46.241964237412425
38,60276.27568784328,2397.1323398109134,Groceries,47.41936128088365
33,85146.55968412924,1372.8552884153753,Groceries,55.6186112863328
62,64903.910606462436,2146.7789660833146,Groceries,55.87355339806518
35,56713.49206786704,1321.7090976882973,Travel,44.04487122952365
64,72441.08371775234,2233.2149912167633,Healthcare,61.35195604686929
41,26832.970364881723,1982.1792588512583,Groceries,30.258291025793426
43,63534.21837162849,1192.4340920472453,Healthcare,43.74220249745215
42,71562.9779083045,2582.3696772285857,Healthcare,51.6261357180505
62,37821.20631330238,1632.7042116009754,Travel,40.53059371266169
58,77156.31064810394,1594.8737814928095,Groceries,59.35464763559089
46,65077.44611241621,2100.2845986154716,Travel,48.2788848040912
32,53770.681291487985,2574.3186747143577,Groceries,46.457331346329546
62,69491.72799159428,1492.0890905108015,Travel,59.362830287325885
18,94060.39286706594,2030.8399249239858,Healthcare,57.69611292416591
42,62727.99382587743,2214.4082501652865,Groceries,48.53688713583677
24,63723.30879450504,2346.552803631572,Electronics,43.33034206471336
26,53109.58650689634,2088.2207776386126,Healthcare,36.62739788868093
41,47252.33445802813,1816.4860804583388,Electronics,39.714100426968464
18,72455.03724816369,1586.20488967564,Healthcare,45.31543348371863
61,47158.74261136699,2043.0719415231874,Travel,43.481994037766626
25,61073.49355829089,1463.9304940071966,Groceries,41.632960601649636
41,52835.13829852325,539.3247582526963,Healthcare,39.485700568117515
28,67184.69738619588,2218.279902078834,Travel,42.613293381500824
68,65004.931579304226,2451.9674205430974,Groceries,56.085630609179304
34,75563.0991638685,818.5337822290808,Groceries,48.79140607954912
25,52349.75401717879,1495.1346476450312,Healthcare,40.440521618559835
52,55951.87597059943,2309.5771305025987,Groceries,49.30819849537243
52,45318.54426326539,3028.7477348558496,Healthcare,41.64580446314461
50,53335.60109885833,2010.396853837704,Groceries,46.66066683593984
22,65659.50739567279,1635.998529385433,Electronics,39.60714277873053
59,71354.82924968028,1908.55177944758,Travel,59.359900291509454
56,46167.52013733562,2687.4382095740925,Electronics,44.31638718418024
58,73044.0888015849,1677.0179104377323,Healthcare,57.088807844189574
45,80334.56788207426,1600.4039966748733,Electronics,59.519685229471264
24,66201.52354835552,1758.6282389089838,Healthcare,41.24369111482722
26,88151.937188371,1523.3356958706438,Groceries,52.1284036157008
25,48393.1620134464,2061.335157997398,Groceries,34.65205267002599
29,41330.179450328746,2812.3392292347803,Healthcare,37.06652588567256
51,33319.19626643582,2161.5396365580145,Electronics,33.24398525538025
50,82440.66467233775,1873.823248936856,Groceries,54.30366763782145
65,69815.48484531087,1854.094365542228,Travel,57.2136134369219
40,59166.229936343174,1218.4045956516716,Groceries,45.123405759296766
41,64199.529394797304,2441.5548885735793,Travel,51.683397974023464
54,43117.66429052435,1961.081401493599,Electronics,40.754672224078575
52,96686.27969425239,1909.7600432046872,Travel,66.93980671930356
61,61938.31772962841,3596.5537839224307,Travel,58.770067901170556
57,61640.92191907339,2149.376454182843,Travel,48.47973046851154
39,70886.49935848037,1624.1044749524078,Travel,49.61441707877898
44,67215.13847605069,1786.8212018972283,Groceries,50.762059421669925
52,63358.26036418697,2574.222854598377,Travel,53.32601333386032
18,48142.88316832032,2056.635205268882,Groceries,32.565098608316156
52,67072.02535703994,1280.8610108413168,Travel,51.766616723614284
54,88230.3674471255,2459.6144672876017,Healthcare,60.25775795131197
64,80181.30069232467,1665.9279572305031,Electronics,61.30600943595565
31,83897.79939959096,2936.6488881087726,Travel,58.02921490112196
20,52331.76485353222,2540.0240328573245,Healthcare,35.2813424239714
18,45155.92769612129,1776.3390521706244,Travel,31.648610395581088
22,58113.19619850528,2640.5081808675563,Travel,41.83135946259315
43,60835.87368433042,2033.9277552637016,Travel,46.70069395097708
31,76412.87277706423,2426.3868375611096,Healthcare,52.70013760564747
56,34613.030554277706,2242.366408647237,Electronics,36.6657829638641
44,82943.2547919092,1576.8216725045631,Healthcare,57.412048181571635
26,57629.88152131516,1678.225083841269,Electronics,41.191823267518565
32,53596.7839507887,2514.9804087905804,Travel,41.74229871491238
32,44818.434371097486,1832.6123339467294,Groceries,34.501379314314335
43,35177.14992201346,1798.1757683790017,Travel,34.53335930634631
59,72347.55875942872,1522.4387103253234,Electronics,58.34787638163825
30,61099.76950782606,2211.7995327967305,Healthcare,39.87360126235154
68,40650.58650388419,3031.262459621573,Travel,49.105966301097034
49,40573.818419045754,1466.2335428728636,Healthcare,37.246866817906465
56,54963.229510648074,2012.109728336379,Healthcare,49.15681407847726
66,85035.32287934089,2706.110277707715,Healthcare,70.12437584237634
69,56106.12972954593,1960.1793043771424,Travel,49.93007607906632
49,37452.85570322841,2226.185898124867,Healthcare,36.45991764300885
21,56313.85403871084,1468.80323592656,Healthcare,36.81743609945713
47,55909.146453784946,2214.153548603824,Travel,44.91537328185127
54,19546.700355876426,1906.4278674977256,Healthcare,33.25607906460728
40,59185.577002232814,2492.8649978399317,Travel,44.86497430914268
56,56535.98204686983,2593.6930257823756,Electronics,49.14428351602593
62,70443.09547220127,3294.781821009307,Electronics,60.819889441325195
32,87734.34142418018,2289.816586606788,Electronics,55.6425048331515
60,76898.47544321636,2162.8981582910833,Healthcare,59.983672614677815
46,55966.669641677545,2097.192150788668,Groceries,46.61262564491646
53,43402.11136887495,1823.4168535946558,Groceries,40.582168582861755
30,98600.3970487479,2169.2419217308457,Healthcare,62.45190865003575
49,60888.27651021732,1852.2992949304853,Groceries,47.790072620072884
24,60208.939378694195,2084.2304881348073,Travel,38.443990047255184
68,59638.12369334995,2658.79876780398,Groceries,56.17984580496141
39,62971.271411517824,1496.7287173601794,Healthcare,49.688959283773755
45,57834.593821140865,2569.939280564523,Healthcare,47.59397873326635
19,51395.069896796456,2658.5575336699326,Travel,37.16517825023319
59,51797.115881394115,1940.9657365044607,Electronics,48.86593492393969
62,59508.70094676002,939.0725504957027,Healthcare,47.69383458127801
